# Code: sensitivity_master_dec2011.c (sll - 3 May 2012 Build), with reddening
# based on WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# -------------------------------------------
# For this data file:
# -------------------------------------------
# Base Filename = LISA2018_esaSTD 
# SNR = 1.000000 
# Optics diameter = 0.300000 meters
# Armlength = 2.500000e+09 meters
# Laser power = 1.000000 Watts
# Wavelength = 1.064000e-06 m
# Optical train efficiency = 0.300000 
# Reddening (1 + fr/f) @ fr = 0.000400 Hz
# Reddening index (1 + fr/f)^Ri -- Ri = 2.000000 
# Reddening 2 (1 + fr/f) @ fr = 0.000000 Hz
# Reddening index 2 (1 + fr/f)^Ri -- Ri = 8.000000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 1.524300e-11 m/(root Hz)
# Sensitivity Floor Set by Position Noise Budget
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is No White Dwarf Noise
# -------------------------------------------
# f [Hz],hf [Hz^(-1/2)]
2.465604e-03,3.052197e-20
2.523051e-03,2.950936e-20
2.581840e-03,2.855638e-20
2.641995e-03,2.766041e-20
2.703555e-03,2.681873e-20
2.766546e-03,2.602887e-20
2.831007e-03,2.528835e-20
2.896970e-03,2.459480e-20
2.964469e-03,2.394594e-20
3.033541e-03,2.333954e-20
3.104224e-03,2.277344e-20
3.176552e-03,2.224559e-20
3.250565e-03,2.175394e-20
3.326303e-03,2.129655e-20
3.403807e-03,2.087152e-20
3.483114e-03,2.047704e-20
3.564271e-03,2.011133e-20
3.647319e-03,1.977271e-20
3.732301e-03,1.945955e-20
3.819263e-03,1.917028e-20
3.908253e-03,1.890339e-20
3.999315e-03,1.865748e-20
4.092499e-03,1.843116e-20
4.187855e-03,1.822314e-20
4.285431e-03,1.803218e-20
4.385282e-03,1.785713e-20
4.487460e-03,1.769688e-20
4.592017e-03,1.755040e-20
4.699012e-03,1.741670e-20
4.808499e-03,1.729488e-20
4.920536e-03,1.718408e-20
5.035185e-03,1.708350e-20
5.152505e-03,1.699239e-20
5.272558e-03,1.691007e-20
5.395408e-03,1.683590e-20
5.521122e-03,1.676928e-20
5.649763e-03,1.670966e-20
5.781403e-03,1.665653e-20
5.916109e-03,1.660945e-20
6.053955e-03,1.656796e-20
6.195011e-03,1.653169e-20
6.339356e-03,1.650028e-20
6.487064e-03,1.647341e-20
6.638212e-03,1.645078e-20
6.792882e-03,1.643211e-20
6.951155e-03,1.641718e-20
7.113118e-03,1.640577e-20
7.278853e-03,1.639767e-20
7.448452e-03,1.639272e-20
7.622001e-03,1.639077e-20
7.799592e-03,1.639168e-20
7.981323e-03,1.639533e-20
8.167287e-03,1.640164e-20
8.357586e-03,1.641050e-20
8.552317e-03,1.642186e-20
8.751586e-03,1.643565e-20
8.955498e-03,1.645184e-20
9.164160e-03,1.647039e-20
9.377686e-03,1.649129e-20
9.596187e-03,1.651453e-20
9.819778e-03,1.654012e-20
1.004858e-02,1.656808e-20
1.028271e-02,1.659842e-20
1.052230e-02,1.663119e-20
1.076747e-02,1.666644e-20
1.101835e-02,1.670422e-20
1.127508e-02,1.674461e-20
1.153779e-02,1.678768e-20
1.180662e-02,1.683351e-20
1.208171e-02,1.688222e-20
1.236321e-02,1.693392e-20
1.265128e-02,1.698872e-20
1.294605e-02,1.704676e-20
1.324770e-02,1.710819e-20
1.355636e-02,1.717318e-20
1.387223e-02,1.724188e-20
1.419545e-02,1.731450e-20
1.452621e-02,1.739123e-20
1.486467e-02,1.747231e-20
1.521101e-02,1.755795e-20
1.556543e-02,1.764844e-20
1.592811e-02,1.774402e-20
1.629923e-02,1.784502e-20
1.667900e-02,1.795175e-20
1.706762e-02,1.806455e-20
1.746530e-02,1.818380e-20
1.787224e-02,1.830992e-20
1.828866e-02,1.844332e-20
1.871479e-02,1.858449e-20
1.915084e-02,1.873395e-20
1.959706e-02,1.889223e-20
2.005368e-02,1.905995e-20
2.052093e-02,1.923775e-20
2.099905e-02,1.942636e-20
2.148833e-02,1.962653e-20
2.198901e-02,1.983911e-20
2.250136e-02,2.006502e-20
2.302563e-02,2.030527e-20
2.356214e-02,2.056094e-20
2.411113e-02,2.083325e-20
2.467293e-02,2.112351e-20
2.524780e-02,2.143317e-20
2.583607e-02,2.176384e-20
2.643806e-02,2.211728e-20
2.705406e-02,2.249543e-20
2.768443e-02,2.290046e-20
2.832946e-02,2.333475e-20
2.898955e-02,2.380096e-20
2.966500e-02,2.430203e-20
3.035619e-02,2.484126e-20
3.106350e-02,2.542230e-20
3.178727e-02,2.604925e-20
3.252792e-02,2.672667e-20
3.328582e-02,2.745967e-20
3.406137e-02,2.825394e-20
3.485502e-02,2.911587e-20
3.566714e-02,3.005255e-20
3.649818e-02,3.107185e-20
3.734858e-02,3.218252e-20
3.821880e-02,3.339412e-20
3.910930e-02,3.471705e-20
4.002055e-02,3.616240e-20
4.095303e-02,3.774171e-20
4.190724e-02,3.946646e-20
4.288367e-02,4.134733e-20
4.388286e-02,4.339284e-20
4.490534e-02,4.560743e-20
4.595162e-02,4.798855e-20
4.702229e-02,5.052264e-20
4.811793e-02,5.317992e-20
4.923906e-02,5.590836e-20
5.038634e-02,5.862793e-20
5.156034e-02,6.122747e-20
5.276169e-02,6.356774e-20
5.399105e-02,6.549422e-20
5.524903e-02,6.686094e-20
5.653634e-02,6.756091e-20
5.785363e-02,6.755287e-20
5.920163e-02,6.687233e-20
6.058103e-02,6.562185e-20
6.199256e-02,6.394542e-20
6.343698e-02,6.199851e-20
6.491507e-02,5.992428e-20
6.642758e-02,5.784031e-20
6.797535e-02,5.583501e-20
6.955917e-02,5.397011e-20
7.117990e-02,5.228597e-20
7.283840e-02,5.080751e-20
7.453553e-02,4.954929e-20
7.627220e-02,4.851974e-20
7.804936e-02,4.772431e-20
7.986791e-02,4.716776e-20
8.172883e-02,4.685593e-20
8.363311e-02,4.679707e-20
8.558177e-02,4.700290e-20
8.757581e-02,4.748959e-20
8.961632e-02,4.827856e-20
9.170440e-02,4.939721e-20
9.384110e-02,5.087941e-20
9.602760e-02,5.276536e-20
9.826505e-02,5.510016e-20
1.005546e-01,5.792989e-20
1.028976e-01,6.129294e-20
1.052951e-01,6.520303e-20
1.077484e-01,6.961986e-20
1.102590e-01,7.440462e-20
1.128280e-01,7.926816e-20
1.154569e-01,8.374311e-20
1.181470e-01,8.723988e-20
1.208999e-01,8.923018e-20
1.237168e-01,8.949240e-20
1.265994e-01,8.823502e-20
1.295492e-01,8.598851e-20
1.325677e-01,8.337168e-20
1.356565e-01,8.091180e-20
1.388173e-01,7.898594e-20
1.420518e-01,7.784524e-20
1.453616e-01,7.766665e-20
1.487485e-01,7.860172e-20
1.522143e-01,8.081314e-20
1.557609e-01,8.449673e-20
1.593902e-01,8.988166e-20
1.631039e-01,9.718298e-20
1.669043e-01,1.064434e-19
1.707931e-01,1.171620e-19
1.747726e-01,1.277112e-19
1.788448e-01,1.351607e-19
1.830119e-01,1.368064e-19
1.872761e-01,1.327141e-19
1.916396e-01,1.256716e-19
1.960674e-01,1.187485e-19
2.005975e-01,1.136909e-19
2.052324e-01,1.113405e-19
2.099743e-01,1.121329e-19
2.148256e-01,1.164614e-19
2.197892e-01,1.247932e-19
2.248674e-01,1.374389e-19
2.300630e-01,1.535631e-19
2.353785e-01,1.691102e-19
2.408169e-01,1.764205e-19
2.463810e-01,1.714402e-19
2.520736e-01,1.595754e-19
2.578977e-01,1.484902e-19
2.638563e-01,1.422377e-19
